iter	Passed	Remaining
0	2	216
1	3	160
2	4	145
3	5	135
4	6	128
5	7	122
6	8	117
7	10	115
8	11	112
9	12	108
10	13	106
11	14	104
12	15	104
13	16	102
14	17	100
15	18	98
16	19	97
17	21	96
18	22	94
19	23	92
20	24	92
21	25	91
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	36	77
32	37	76
33	38	75
34	39	74
35	41	73
36	42	72
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	63	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
